ID,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture
1294,Honduras,7.022105817580592,7.178385509089498,6.802462606341124,7.121556264171616,7.018256057021187,7.189475671294458,8.033786278722243,8.0300035460286,8.049134403481405,7.097090893223705,73.43436031592096,0.07289905157716417
1295,Mexico,7.041925792310053,7.068258113432062,6.911314019257576,7.066855381385087,6.958690132903304,6.952582225164641,7.969910626245735,7.965780862398907,8.01991027593882,6.943677889391088,72.89274988342513,-0.0117637393597997
1296,Colombia,7.98788551173745,7.374677721947702,7.787840923013581,7.318944183757437,7.443609582543008,7.6664779624424435,6.71479450020263,6.695226057025157,6.6999742009484695,7.2818302930372925,72.7890853462437,0.04509559953705777
1297,United States (Hawaii),6.959438777276758,6.924342446821434,6.958844961114643,7.510748347372087,7.570271934221527,7.129992912417892,6.674336287784915,6.699596869180227,9.290041367647055,6.909033621870094,72.59266241428986,0.10757184838500145
1298,Haiti,6.870090737869356,6.744498313468727,7.076506223051796,7.2028669599676345,7.289257790645179,6.65364018166523,9.998448443514503,5.329705397488746,8.70299774113784,6.385104825197914,72.33052226710578,0.037729509748366766
1299,Costa Rica,6.360549554534478,6.531482852742399,6.304039516093853,6.813070273820025,6.29530052723117,6.468272998333007,10.004712464720058,6.647808703941501,10.000599631044695,6.257095043274945,71.705052356103,0.12208094172169084
1300,Mexico,6.950108757857603,6.881102422549567,6.883212665084734,6.9667448909117216,7.1418239826492504,7.036544190770467,9.986296909771356,2.6940219175509705,9.961324530262312,6.592721545098423,71.0456809144151,0.10527144360238186
1301,Mexico,6.539408055728475,6.705446912964373,6.436847790538547,7.176784667026117,7.302371593939946,6.494124044254933,8.012343814040804,5.975613049455775,9.99780680522811,6.462429532903544,70.96575114363462,0.11286712200052357
1302,Mexico,6.920368705269486,7.0489848027075785,6.855497761989514,6.941184894027635,7.397928159062746,6.91301814430153,5.9990852015978495,5.993637308956106,10.019803284628436,6.788926661194816,70.77048681252691,0.14095939244890868
1303,Brazil,6.959508106387655,7.029482667859812,6.786667241130234,7.018648938274591,7.322736309250489,6.844230197577812,6.0455667531545245,5.976898575620137,10.04152613053662,6.63505583045823,70.71902169652529,0.07007841350322686
1304,Honduras,6.629304090401143,6.5065771946180115,6.124253902356134,6.703718806798314,6.792473361875562,6.219446339725589,8.024912222021623,8.04364772093487,7.950601432610752,6.307779766568289,69.30522889354692,0.14629841776218883
1305,Honduras,7.0116868023330605,6.128152064556894,6.157161338190948,6.660048754708096,6.479049285590574,6.183164482063902,8.017886677911278,8.016144368225971,8.013675702351183,6.545859775417445,69.1271716236399,0.07729996801937507
1306,Honduras,7.038583679796187,6.29779446817946,6.142388173704139,6.528675694489284,6.638860417647951,6.126293693681593,8.045022179085827,7.96105267988588,8.033210434812311,6.29033964844827,69.14303987951673,0.14941253218440737
1307,Mexico,7.03253549755428,6.87165606470559,6.208836009779125,7.452761100571403,7.222877960511491,6.7706368941711546,9.987965126854553,-0.024454848355835758,10.033913863075956,6.774703211185167,68.29067968069833,0.09569884532001413
1308,Haiti,6.724850820508886,6.532816854941788,6.437567710505314,6.68791437308292,7.066595940658946,6.7156137904754445,9.329078672070795,5.989991780354527,5.959895033073593,6.377858537801249,67.88924684362698,0.09373340910787792
1309,Nicaragua,7.266607151434525,6.572378594508652,6.368392820691585,6.2187127455150755,6.420529000164786,6.04164450149629,6.022143059724648,5.974027128041275,6.0273451672709815,6.141642526105916,63.045763721834085,0.09173627482613993
1310,Guatemala,7.518294441454647,6.646374473264072,6.63211617439637,7.694520713489109,7.352282603360965,6.6713583386863435,8.018614447857695,1.3185609251170727,1.3219675188642495,6.657140194918376,59.860016810069745,0.08128580640333574
1312,Honduras,-0.04063703479002331,-0.02267566763906892,-0.03222102070299131,0.015844301886452833,-0.03798576296211481,0.03693867511115162,-0.02294919908938954,-0.02468976467054599,0.011868126262855772,-0.019876133487080408,-0.0468379487360336,0.12406770126288315
1,Ethiopia,8.69135796762831,8.817235746715795,8.713274078451846,8.765791971241287,8.450517394514199,8.453443970855602,10.044812918643629,10.039193357001096,10.017048447248598,8.731465903821352,90.61873562327455,0.09219091355072559
2,Ethiopia,8.753365368851242,8.67806595684135,8.54921386339814,8.629558891028722,8.416650028425142,8.453433180551631,10.005387550962427,10.043228663423788,10.013568181631813,8.539939095395502,89.92637908347315,0.11186009276218625
3,Guatemala,8.464849580153793,8.514211978704507,8.407402703043033,8.44955745681685,8.291494009148298,8.4620907639348,9.970547635073533,9.965801339079606,10.01499752568515,9.288286723470478,89.79060471188936,-0.004031150569326528
4,Ethiopia,8.172574491674043,8.599875944962877,8.43859508824227,8.452700628226985,8.495827709859022,8.264369094544204,9.971421135712173,10.033397936872934,10.032664171781585,8.68519562036751,89.00927226063259,0.12068130999750501
5,Ethiopia,8.218071517913746,8.475343994850657,8.277540322036518,8.468359691231576,8.466215264384337,8.365435843995174,9.99097611529609,10.037452479644758,10.000681202268053,8.600902131882258,88.83992646255908,0.1333987339030676
6,Brazil,8.582972332858304,8.410940201244934,8.428028438998362,8.4777082273335,8.244693131153575,8.378847862207069,10.017694279477315,9.99444656657784,10.019507391318333,8.31291421725566,88.82457662478102,0.10782586202427688
7,Peru,8.37590849498086,8.526727718276147,8.343574847918914,8.53264926669167,8.265397797616094,8.245851596918088,9.959581927969623,10.031867090213105,10.007150571197984,8.502473455014043,88.70542948481261,0.09098943843867985
8,Ethiopia,8.2956493398694,8.299985280761213,8.4548223944939,8.395636491337,8.305387183649234,8.498964868307196,9.950085453486638,9.999851370854007,9.296698063973695,9.048647370231329,88.63944851357685,0.04049031796803684
9,Ethiopia,8.64053598950348,8.719792327549733,8.573642980834075,8.400060016890759,8.353074544500382,8.427847165569132,9.281237846158778,9.9672865447354,9.326944001456889,8.625018736733931,88.38553630911066,0.01478049050979311
10,Ethiopia,8.045831796039286,8.578369948048538,8.493943555515612,8.547945165079064,7.6937283736751505,8.42253514062934,9.969084271378547,9.999294933776355,10.005315332725003,8.507808661242334,88.29709588575444,0.12817624564259206
11,Ethiopia,8.193150519571095,8.64050392155399,8.228977684657277,8.47476766039348,7.7258512171502085,8.126983514202212,9.980560071255054,10.032183191496078,10.000851572230271,8.562432155641767,88.09303508551274,0.13029709673334317
12,United States,8.281576489402227,8.385619247443104,8.157301708592106,8.320810956117175,8.103805871889795,8.216964797249936,10.046425655798794,9.956526087227587,10.026387022520415,8.532514045931823,87.95603932443241,-0.011769652344287097
13,United States,8.037135166979583,8.650927812045936,8.316031677433223,8.459657485582424,8.03056160107432,8.104694564839868,9.983344644885642,10.021721539827334,10.049517159265223,8.320601850935702,87.90180822059084,0.021048453824215357
14,United States (Hawaii),8.30409877207744,8.460076867128803,8.093089321234721,8.262128927061102,8.227280199906152,8.018354748422713,9.994926032081745,9.968856162674552,10.00441408234098,8.530324878390832,87.89487997850563,0.029140448797427762
15,Ethiopia,8.24242763101832,8.331001831604933,8.490798519344835,8.282836349790129,8.536972345515212,8.773574351828236,9.374759577277615,9.958975823482392,9.295615629870532,8.548499835683991,87.81015127239931,0.011038859586351847
16,United States,8.030483298405882,8.493920041464193,8.567554521446253,8.122942061293895,8.12691377217458,8.001914762062865,10.031028113829704,10.024798607872691,9.961471489319909,8.139903711624596,87.57585900624785,0.009168454445797357
17,Indonesia,8.36548514063153,8.283391618890331,7.852395679918871,7.705111418380443,8.480154736339934,8.414944334836242,10.022190550364066,10.022290920286538,9.964453699736527,8.360049386057153,87.37896591667237,-0.013525111838665026
18,Ethiopia,8.200641847317474,8.33461658059244,8.204598665501216,8.346950389735527,8.42659366499646,8.355363978184705,9.333724336092972,10.04089287804262,9.326329493612251,8.78827394093207,87.30490858485656,0.05100267674717778
19,China,8.442452303131224,8.200616159943078,8.076436054274096,8.173351199818722,7.901772706138533,7.969768300550059,10.018807389455958,10.029776555815785,9.985294103802902,8.418348452422764,87.29564904749469,0.13619422459528396
20,Ethiopia,8.14979310805175,8.121981047570195,8.033387378105747,8.212688851077294,8.077555295782323,8.301558982366002,10.031774311174864,10.014021287246713,10.0194267687761,8.329958283157492,87.20831988895671,0.02931499034495491
21,United States,7.981054655193405,8.208067022098037,8.087225758656393,8.503910052460181,8.2890130006926,8.04793027079842,10.035714073541484,10.04989399533296,10.048308650294553,8.13462431335733,87.27782111999511,0.0212228682576788
22,Costa Rica,8.0873650123764,8.240638704813446,7.989989541898079,8.16472859202587,8.003536194572327,8.370456346600626,10.010838387872111,9.960898888388021,10.039754583442082,8.329342833188717,87.19373937331709,0.15401959420589822
23,Mexico,8.20268181838139,8.236579652449745,8.203553315349149,8.024401028615754,7.871078845032471,8.132384759368724,10.024661994562532,9.958999737557571,10.001684135985583,8.544005987253701,87.18978223013877,0.12618449450077857
24,United States,8.21222194547969,8.33166216474616,8.133490295832853,8.153109687126472,7.792893682216799,8.199291378742391,10.01919797074856,10.035720681698288,9.963649319870761,8.196340445710312,87.1229865933415,0.0272607213903691
25,Ethiopia,8.428118139736814,8.191434720701238,7.900587963576318,8.170669906821438,8.345446047831675,7.9536870123857355,9.956789477779546,10.03859101354971,10.016144746980014,8.080592274401623,87.07396399096254,0.1252472203123764
26,Brazil,8.505687873100666,8.47585078276781,8.010047033018672,7.975718373029503,7.975771707876144,7.962988461615275,9.983346510053845,10.003091367391818,10.039036385836601,7.913550516860787,86.94709178654108,0.16508361939515376
27,Ethiopia,7.813524197528441,8.20336079871839,8.05285264819459,8.200656095233876,8.205164066893156,8.217852717470505,10.010646814711786,10.024945479785474,10.019599979479684,8.254501838039547,86.87164703141828,0.013933427679688346
28,Uganda,8.45277543584172,8.150744430857884,8.16509286150636,8.126214922652013,7.816295859848825,7.9370887819270175,9.962373652498027,10.03509900986887,9.967649647059849,8.125714003093853,86.8140378604082,0.14782169350341307
29,Honduras,8.180212655957346,8.032419708884376,8.061975900469832,7.97690578705884,8.043035417503658,8.033404131340362,9.965162956205639,10.020218389653106,10.02053525975738,8.299733788456596,86.62759599521749,0.13726577926258277
30,Taiwan,8.042385492871471,7.9752326861657945,8.022224244159231,8.227607460224862,7.950699150739983,8.149656756249236,9.98428335959703,10.040585132336531,10.027749404073353,8.133910819150953,86.55562210618957,0.025992499899480923
31,Nicaragua,7.888879253589412,8.214119542215736,7.959556704772663,8.374682385699646,7.951374772043927,8.0517678453501,9.950675265347611,9.9586084051217,9.978111407463194,8.016307401978334,86.58562273626711,0.07310875793814024
32,"Tanzania, United Republic Of",8.402054421983573,8.208972797460552,8.160644432251816,8.021671705574576,7.544533125112666,8.006119828718516,10.03073356070724,10.014149757563299,9.957075326991253,8.128811582123406,86.47943007568175,0.08152939677721951
33,Brazil,8.52103911863889,8.14227203212946,8.025209566861967,7.749959472626175,8.034571361578688,8.048368828596324,9.995922347115101,10.021798170429145,9.983744622057081,8.003847590223419,86.45903180181728,0.15129979431684987
34,Costa Rica,8.181163828064534,7.836097456497715,8.020489613256306,8.056072942297536,7.790516257434192,7.992851988845968,10.011579489295746,9.981914719359251,10.013068035134989,8.468194495199839,86.36375676968258,-0.010340049204815648
35,Ethiopia,7.962721965647958,8.061872377977956,7.896772367695014,7.980872320092713,8.090900577444804,8.112954434332439,9.992601127594055,9.954311048060445,9.974486300495213,8.06717501389871,86.28695779861043,0.1260343269616886
36,Kenya,8.040289913977618,7.970600432944387,8.041922719756357,8.287588379878526,7.930807602347717,7.9550541083555295,10.008994259842542,10.020511079197496,10.021175459585272,8.056543199078163,86.22757615017179,0.14774815435233757
37,United States (Hawaii),8.048222042087481,8.17713581040397,7.989659948152912,7.87229294522348,7.961949267812356,7.788656928587886,9.975103316337503,9.997735405206976,9.992000270389138,8.3791330579586,86.21666593627424,-0.03267708510202717
38,United States (Hawaii),8.226203921282083,8.379344704022605,8.10022176635525,7.701018642107807,7.718451529414646,7.838284276669467,10.013434035358769,10.037803560980237,10.048653863770953,8.252104887464611,86.25653107332631,-0.016003460257437478
39,Ethiopia,7.95168062707724,7.7082314964792396,8.081541653340329,8.030238921003942,8.04642126918931,8.131983202596173,9.97029288931731,9.977152087738283,10.007698402747266,8.176715112006745,86.27422218886075,0.10778996161937546
40,United States,7.6388706687763355,8.135686007376071,7.959177195028265,8.03019807305873,8.178043887491413,8.06578794932168,9.97118635899327,10.040248899536985,10.040058978305744,8.076292988986985,86.1362437243397,-0.023907558363253624
41,Thailand,7.8488343739237685,8.345730541962332,7.875304161866161,8.233689734907328,7.565778560820458,7.941847613096292,9.975508703659047,10.039998954779174,10.006706067097614,8.46742760624716,86.17143450134797,0.07372088134616739
42,Brazil,8.147034994916261,7.947993674948314,7.9400415168994005,7.757276075886511,8.321107546280581,8.006486351975541,9.982864497367656,9.957179792458989,9.96510730566805,8.09138041083473,86.16965084312045,0.03177372069033802
43,Brazil,8.468632105566833,7.922955338760397,7.991162060050636,7.7249957326273595,7.946240711484924,7.976707859905127,9.981246773109698,10.01103863119773,9.999057222811357,8.132110751249149,86.13413713865997,-0.0363387706470294
44,Taiwan,8.049506696046242,8.152759584245299,7.71057050803841,8.117426150498899,7.770324865552067,7.877864970653944,10.003688648989366,10.041005424438632,9.990076722344867,8.43119372508293,86.03995853062919,0.07050351231438803
45,Kenya,8.067810729989377,8.11701437382641,8.018243153738966,7.957379633006241,7.827257097998411,8.12797397882373,10.01040330340168,9.976533312884508,9.977594736114042,8.046033003404823,86.08967741072746,0.11172832620995413
46,Brazil,8.307361098268123,8.001557157556864,7.9921103602777155,7.974647530572249,7.708233354048149,8.032173540402335,10.015603839284648,9.969202317845252,10.02239677367426,7.9800841217154135,86.11623549141314,0.12820934697820213
47,Uganda,8.11077882626052,8.104558264488583,7.855305285135539,7.940530111586849,8.063712324305948,7.8712442221085395,10.0036908359006,9.976656142831436,9.968699588761204,8.10198407406248,85.98023409802782,0.014114714502617115
48,Colombia,7.78600088258394,7.965857670504087,7.846119645050019,8.126919279902815,8.055161655437672,8.214919075722241,9.979567544263105,9.979241542245443,9.95449926066721,8.149719495749656,85.97804202264194,0.10136540063390098
49,Kenya,7.894893740493393,8.217576127342431,7.81358167781655,8.452216684970805,7.481122232155306,7.933552832595437,9.984432278220485,9.959023004532604,9.994171720069325,8.160703601309931,86.03556694507549,0.15104696163973902
50,Uganda,8.221325588826105,8.044620784312421,7.816372920385298,8.058356364224931,7.959506717897816,7.926208786870884,9.967842550423166,10.002477253715679,10.02152531329257,7.915694344859686,85.96198341570235,0.13333415110673785
51,Ethiopia,7.7269692545104185,8.04599730188445,8.014657681287018,8.296377167280557,8.015260590699908,8.023945223579236,9.965541627761107,10.049653534533396,10.019378479139212,7.883296453724384,85.9751284285568,0.035804817966882764
52,United States (Hawaii),8.375839267120824,8.157565657583365,7.715901163567549,8.012533063674296,7.787955338392515,7.823552250218164,9.973434034315824,9.956528429214028,10.006446273614213,8.173436315032463,86.00352903456314,0.024329158403183976
53,Guatemala,7.942377641394103,8.086911469376721,7.907869001623314,8.080918116844256,8.094075975739043,7.835048391488035,10.037264396514788,9.974915765658585,9.979763121234702,7.998138559155671,85.95476737721002,0.14714272368206938
54,Uganda,8.159858358647472,8.129463658398066,7.871677110660773,8.10399556525196,7.867920276878952,7.700499497159435,9.98872190626095,10.013681277237065,9.961468632459372,7.982674523692027,85.9582709824914,0.14938976755322647
55,Colombia,7.99633409082947,8.004290419092124,8.017135961859369,8.194726201048278,7.812713395003841,8.013730205378213,9.9953206909687,10.039296390326623,9.95289236709326,7.938440545345207,85.95844695716698,0.03741820748042339
56,Panama,7.964925686543569,8.017883038356567,7.961189258749428,8.065693508202404,7.817190590047174,7.957681214193231,10.016749027642575,10.012366910507545,10.042728536363027,7.986448854950414,85.8782723156694,0.08510467841374057
57,Ethiopia,7.816901064695103,8.049267571538444,7.898497383226777,8.095288299195415,8.024939035635809,7.933827916006497,10.002239504878027,9.972003849169552,10.047370357634138,7.970849016840284,85.78353598935831,0.051537472793432126
58,Guatemala,7.835455789222119,7.990001031755263,7.964168038517297,8.146510414838339,7.875124021498968,7.9924840684651475,9.994215195952467,10.036546172659373,10.038313796060386,8.016163528322993,85.85482062623531,0.14563824317235063
59,Guatemala,8.001376500270888,7.981998755475087,7.877370632745009,8.374954393077477,7.8611286252039125,7.856504475959569,9.96326226919531,10.032167507294952,10.030116968012223,8.021270431048794,85.82938398147681,0.05742795977081852
60,Ethiopia,7.867320324520637,7.991676823877363,7.84735958934962,8.159586939829312,7.948341656560796,7.9773164972834225,9.959491584858219,10.017242954070012,10.030181996857046,8.021962131114918,85.7153337906881,0.11496266887981077
61,Peru,7.950541543474744,7.973904794067253,8.033077127498363,8.123258140720802,7.937020829285599,7.779619354959876,9.959870585788071,10.01485182007195,9.950080322730404,7.991993173567161,85.78267206341853,0.10423387696418585
62,Papua New Guinea,8.34816801400889,8.410012903341016,7.8114386480534534,8.315860197951979,7.973151640861764,8.287777843979335,9.330053477157707,9.367059092646679,10.034858829629052,7.9093631806963085,85.74754061310563,0.10620352476857468
63,El Salvador,7.886748101907744,8.142062938794899,8.035942646878048,7.890574630043381,7.734190259651949,7.790871824925645,10.005074189561487,9.99952558667345,10.043592396520841,8.03816263463461,85.60861002306731,0.13468582791941447
64,El Salvador,7.846754516404553,7.987305796647564,8.037780858553273,7.785670908455324,7.969584780850483,8.13323766635209,9.958379954630074,9.976600383935887,10.040140468185589,7.886629142565476,85.61590267687023,0.0810045047701633
65,United States (Hawaii),7.801045380841875,8.028015124000447,7.956422556882183,7.720350660907134,8.054797882670751,8.02504795820464,10.04718539568353,10.01719287444955,10.028203783268337,7.96519965534342,85.53739127636172,-0.006447727242976264
66,Panama,8.038656446120184,7.720319789410188,7.781226001960201,7.875663523162605,7.623688552923835,8.593621624274878,10.0400741713625,10.02120568079268,9.960106627613204,7.869130941865846,85.48717037551306,0.12164305487872765
67,Kenya,7.904496676848309,7.936248959898601,7.7941437054808915,8.12567751187017,7.870012371208693,7.915663973677003,9.997775734144513,9.973861455066436,9.984800882666523,8.00605340011994,85.46430277213965,0.071211229906955
68,Ethiopia,7.793390319647314,7.9943419112904435,7.812171062350635,7.919479329016769,7.824778693387724,8.105453486914543,9.97392517806435,9.963662734730102,9.967347536235225,8.027349243492832,85.48361751118117,0.13806459410976407
69,Uganda,8.376454338485122,7.880407445862958,7.62133003994392,7.873950732465464,7.718607849559995,7.952189733534822,10.039819138485411,9.984088283433893,9.99187271271011,8.052449140954286,85.48465104867621,0.11770274974653698
70,Guatemala,7.993281308153839,7.856605529685544,7.650047643637244,8.331149149160062,7.848617860665979,8.034078597405028,9.969475732146515,10.029289902825914,10.019777786607364,7.794321062382153,85.45213836343058,0.095694896491576
71,Ethiopia,7.7023659953614825,7.850848802549436,7.8198493747219375,8.186081457652648,7.953836142100912,7.8229636995080005,10.041855544307055,9.994714996336604,10.048890344408894,8.079805042334412,85.38110943853953,0.07706099375273494
72,Uganda,8.069307914470013,8.036173814613717,7.862275287543583,7.640164474279369,7.9581224218109075,7.792058302266581,9.955789210136162,10.03821431952038,10.002267330634192,7.976431077799248,85.37523672361334,0.09122543524888703
73,United States (Hawaii),7.964620149389635,7.897003654361448,7.781083371178404,7.895595289636241,7.759453472749534,7.923800252849457,10.010433855643091,10.014046385954195,9.967036508184965,8.251061287459303,85.43219671169788,-0.00021976006201650244
74,Brazil,8.034045576930875,7.9919650198599355,8.031758716977071,7.6343002406494715,7.719110650626443,7.984776788534461,10.014050564767336,9.972640852275322,9.983161346929268,8.011153995787065,85.39545917448949,0.14342106569847313
75,El Salvador,8.06936858790643,7.872972965405917,7.864153158102047,8.12273848515308,7.833045705836846,7.816957863903328,10.005584390536992,9.977934964484616,10.007595454700379,7.895421460083445,85.43246907905149,0.02089072639616007
76,China,7.984000918071479,8.014254498172098,8.027283439804801,7.848429960338803,7.82754838549469,7.715013785561401,9.974120781271264,9.996649313958539,9.966186142223286,7.918758455764833,85.32030479499781,0.13887017842145727
77,Guatemala,7.875736693465213,7.788740801355649,7.820989024931112,7.623447816735356,7.800284965933037,8.596089027319044,9.961982834024797,9.969985892864642,10.021894696772584,7.872460946089672,85.34430357195541,0.10331358315197298
78,Costa Rica,7.892609979021085,8.109779568193032,7.977336288265457,7.881124294814813,8.010104364227368,8.091456674493422,9.951146683188245,10.006266689020741,9.34891100935534,7.958715554768959,85.34316929722516,-0.023696575741411697
79,Costa Rica,8.047715164435973,7.5329668618184185,7.563446597726922,7.706715917276396,8.096482877502137,8.520035277620162,9.978563791016917,10.025682032672949,9.978261197058826,7.926269732275979,85.37387106449582,0.09371352879549855
80,Kenya,7.816590846699891,8.111599385609583,7.7566285475349455,8.036693813281145,7.951838601124897,7.730528351592522,10.03393756771019,9.999085750909591,10.02329794749983,7.96215442728131,85.29882058670272,-0.009314619822486395
81,Kenya,7.962353068179493,7.9349284365912665,7.915384640168932,8.048075815787824,7.803516177331832,7.745975697355772,9.977900381997843,10.006418877558215,9.989929798030609,7.806398516907018,85.35022554734394,0.03992324437109561
82,Ethiopia,7.852352333987153,7.7949966115588305,7.945741228128504,8.056387050683922,7.7299654486974845,7.879017009526921,10.024794293617006,10.041113630156229,9.964305218725793,8.065434969124835,85.28011568123237,0.0359657822617278
83,Ethiopia,7.908995920105071,7.825767227732971,7.754595473018207,8.287917896666926,7.769136219806327,7.764598161214539,9.972816814347494,10.014630909988368,9.992969466911536,8.028680017238777,85.36729267394608,0.057939864876423636
84,Guatemala,7.97827738379647,7.901027678018357,7.782254390186265,8.0308523524155,7.897557162594386,7.808358550230543,10.010723322573805,9.957797343445462,10.008151101147323,7.851209523315708,85.21894113572395,0.1349171649434115
85,Colombia,8.125551228096025,7.911093090337701,7.80487213012785,7.983518070925635,7.560030671920479,7.8234651654971294,10.032333307396085,10.042736297080587,9.963122863606946,7.955053408813065,85.23251865461815,0.12484571637164435
86,Colombia,7.591073401769169,8.09861740635529,7.879740994489995,7.793203313533965,7.983737612574638,7.959757869182442,9.979416241479937,10.023248930047338,10.013979065463818,7.96444167474019,85.20266908559393,0.13347442848794222
87,Indonesia,7.727447081013483,7.7966237670578264,7.652818025319966,8.03704776641544,8.065976852521832,7.849542510169444,10.01830197168014,9.990289330339788,9.960513774434562,7.993626077684109,85.14628492979652,0.13603519438662523
88,Guatemala,8.213069696703592,8.021811400235158,7.625050817260229,7.939724594937664,7.735132186310801,7.640725591350163,10.029546979905895,9.978435059975514,9.976184178560517,7.940600271444332,85.12339661019097,-0.008490157078644887
89,Ethiopia,7.793358975269538,8.04282907234824,7.545876070025213,7.961299533465042,8.047127611153577,7.9410370214712795,9.99097448185899,9.972332317158038,9.975959730409963,7.8128877730556265,85.11127670248163,0.14743887943866868
90,Colombia,8.169941175325105,7.815866784792835,7.584669228796254,8.039037054399904,7.991824039561039,7.776073105336797,9.995184807177173,10.009117206038093,10.0195269174166,7.696026928794761,85.09420982104112,-0.008230920042843037
91,Ethiopia,8.460197116600714,7.994751209613111,7.396953059640854,8.044211207764494,7.899232336491573,7.8868178692595405,9.287693085731705,10.01758386253901,9.964640575793368,8.113951386648127,85.04584214565531,0.06939854838978497
92,United States (Hawaii),7.6013119630492545,7.864549929841796,7.870732979109209,7.960070218755935,7.841363897845389,8.123855804720968,10.039958046831275,9.995200587381602,9.986873524136898,7.900955419016495,85.12223601849065,0.133069860953633
93,Colombia,7.827396501995062,8.016488917990463,7.786643196549008,7.747376817881362,7.795191474800989,7.832205254465453,10.041194740679083,9.981966469944993,10.037845929833743,8.065686858321092,85.11689819696282,0.10812026295046143
94,United States (Hawaii),8.11749886038147,8.148389910246944,7.924299833842041,8.048944347019937,8.11644976844694,8.00553035114174,9.301986468906746,9.34191879098869,10.020444723784419,8.203794145972038,85.1295496400444,0.05181919922039661
95,Ethiopia,7.646062748702037,7.959963628018247,7.8203645356457185,7.999184931348425,7.887175469703125,7.8604548560614695,9.96737961051184,9.952871805184978,9.991401429340073,7.862670294802092,85.09546036835806,0.02733701485661548
96,United States (Hawaii),7.547159696972095,7.945882374610567,8.238682006291885,7.819122010527362,7.9325878830645,7.779694877626813,10.011959132318312,9.999978705015685,10.025347389824983,7.940867967779346,85.09276729725583,-0.004424733275791383
97,Uganda,8.163619191152202,7.914798127663767,7.79236301937936,7.767654614520856,7.652530084083655,7.748291333955474,10.031481374499963,9.977366238015314,9.955749532612723,8.001547177874473,84.99004675879193,0.14038949798936617
98,Colombia,8.028404992167342,7.921753311903277,7.774163927167707,7.952606639175802,7.764914568227854,7.860276611572113,10.031929377782781,9.990385076475624,9.960716335116116,7.790477348430829,85.00379010687318,0.027029957751574893
99,Costa Rica,7.7809381245952824,8.043405641371438,7.561461412552215,7.926398652375962,7.9541358713743575,7.856133256673384,10.043545360807544,10.023951258036666,10.021963907770344,7.884380104375333,85.01214641521067,0.1174014894811915
100,Mexico,7.846026964986531,8.04420780829627,7.8624620938359895,7.707051409292428,7.6960811466133805,7.879961313488885,10.010897110557947,9.974636988280801,9.977680543598792,8.079650340426305,85.03302212521997,0.1310047645223078
101,Kenya,8.137023679978606,7.846006695341286,7.9243434675517745,7.786012275321688,7.655372819470867,7.79514101730278,9.978104059857111,10.040440070343255,9.976977499004134,7.876078948178217,84.99859179116055,0.09252049815309611
102,Kenya,7.7986940137307865,7.798261029144007,7.7799922641561725,8.118390905424974,7.9820214827556715,7.757969041943181,9.951734131093723,10.033652371722487,10.03712803735442,7.789091203734303,85.02591156890125,-0.016041188081332557
103,Brazil,7.970170189555001,8.012064440647357,7.85560572511762,7.837998260562086,7.6276251070505685,7.6243312119493165,9.975951913579884,10.029964592309522,10.035314111659371,7.9975483122640485,84.99503523697746,0.10988525587933262
104,Mexico,7.958425932264788,8.215281124838711,7.772145342227706,8.080866745077067,7.459390780790762,7.8223448707335805,9.982253375188321,10.04680954304802,9.97276880292819,7.790370134482609,84.99586954677582,0.034551385465780904
105,United States (Hawaii),7.754889918040511,7.9290888140768425,7.744360171715988,7.774777264481043,8.02640324710607,7.974487059752427,10.040507950030317,10.02772317952032,9.98705396942667,7.8356267700967,85.0190543857907,-0.010085631359865288
106,Guatemala,7.870978456189953,8.054500931436058,7.6908525511850225,7.986546298851186,7.746141680292957,7.715362148015114,9.993873301935615,9.955711395612813,10.01413169716438,7.961024091200036,85.01744992001413,0.001657977950240426
107,Colombia,7.95671004261853,7.872518513832626,7.666517013927665,7.808634185977416,7.928172842418985,7.789579830389239,10.04765889701726,10.042159201085209,9.980865356492544,7.857329512582377,84.88602387016702,-0.02291888308810344
108,Colombia,7.89838421797575,7.8409916567853575,7.7458086017004835,7.811334678952942,7.710930855121615,7.995477513793807,9.967645812855155,10.045517647199972,10.025615168561734,7.811520433562975,84.89744148008835,0.16718215808906997
109,Taiwan,7.703679547826506,7.835585520421882,8.042874233888908,7.591822268027564,8.012344177582099,7.945733639046398,10.0009186057603,9.989575537617322,10.035883331121147,7.901531447034207,84.91486916294656,0.12184472860295466
110,"Tanzania, United Republic Of",7.994351242947677,7.853259789619643,7.842331760392931,7.931198769690756,7.743489389425951,7.766345065815863,9.980891753434724,10.039016782758663,9.959328056469227,7.7947482032068915,84.92054771080784,0.1625779141317275
111,Colombia,7.785113241596462,7.892257637732594,7.821641267982297,7.766319514382622,7.792111648031298,7.962412339453869,9.968801550630827,10.015015803901967,10.018909890909379,7.9046955525105504,84.9639751086828,0.12983205850275187
112,Mexico,7.717871615512495,8.019855124596946,7.710812295774968,7.8765606906753565,7.514289950083907,7.919496389688161,9.972539055770017,9.95975075126819,10.008326508668699,8.122919168446135,84.9334886094793,0.14734109725652755
113,Brazil,8.025923445701096,7.954857773191685,7.700864374624024,7.74332659966481,8.04511923539426,7.728250355188449,9.98629369215954,9.973218010504775,9.97839144343073,7.7871290972273295,84.94194096561351,0.1220426739384238
